solar_radiation_min,country
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
13500.0,Spain
13500.0,Spain
15300.0,Spain
15300.0,Spain
17340.0,Spain
17340.0,Spain
13140.0,Spain
13140.0,Spain
22080.0,Spain
22080.0,Spain
22200.0,Spain
22200.0,Spain
22500.0,Spain
22500.0,Spain
21000.0,Spain
21000.0,Spain
15180.0,Spain
15180.0,Spain
13860.0,Spain
13860.0,Spain
8520.0,Spain
8520.0,Spain
8640.0,Spain
8640.0,Spain
8880.0,Spain
8880.0,Spain
11220.0,Spain
11220.0,Spain
10980.0,Spain
10980.0,Spain
11640.0,Spain
11640.0,Spain
18600.0,Spain
18600.0,Spain
21600.0,Spain
22260.0,Spain
21180.0,Spain
16260.0,Spain
13800.0,Spain
13800.0,Spain
8280.0,Spain
8280.0,Spain
8400.0,Spain
8400.0,Spain
8820.0,Spain
8820.0,Spain
9240.0,Spain
9240.0,Spain
12660.0,Spain
12660.0,Spain
11460.0,Spain
11460.0,Spain
18480.0,Spain
18480.0,Spain
18120.0,Spain
18120.0,Spain
22500.0,Spain
22500.0,Spain
20820.0,Spain
20820.0,Spain
13620.0,Spain
13620.0,Spain
14280.0,Spain
14280.0,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
,Spain
